specimen,hook,length,base
v17-007,1,80.1,16.6
v17-007,2,92.2,25.6
v17-007,3,92.3,27.7
v17-007,4,88.6,25.7
v17-007,5,80.7,25.3
v17-007,6,77.7,24.3
v17-007,7,73.7,22.2
v17-007,8,57.2,15.3
v17-007,9,47.7,11.8
v17-008,1,64.9,11.4
v17-008,2,82.5,20.9
v17-008,3,81.7,22.2
v17-008,4,77.4,21.9
v17-008,5,74.9,21.7
v17-008,6,74,24
v17-008,7,74.5,25.5
v17-008,8,67.4,21.5
v17-008,9,55.2,14.2
v17-009,1,60.4,18.2
v17-009,2,72.3,21
v17-009,3,76.9,23
v17-009,4,76.4,23
v17-009,5,70.5,22.1
v17-009,6,70.7,22.8
v17-009,7,71.1,25.2
v17-009,8,71,22.1
v17-009,9,54.5,17.5
v17-009,10,41.4,12.2
v17-011,1,89.5,20.4
v17-011,2,97.5,25.6
v17-011,3,94.8,25
v17-011,4,86.7,24.8
v17-011,5,82,25.1
v17-011,6,76.2,23.8
v17-011,7,76.7,25.2
v17-011,8,73.3,23.3
v17-011,9,58.3,15.9
v17-011,10,41,10.3
v17-003,1,83.9,17.6
v17-003,2,85.8,23
v17-003,3,83.8,22.9
v17-003,4,81.5,25
v17-003,5,79.6,25.1
v17-003,6,75.9,25.1
v17-003,7,75.7,26.9
v17-003,8,75,25.9
v17-003,9,66.3,23.2
v17-003,10,53.6,13.7
v17-004,1,69.4,15.1
v17-004,2,77,21.1
v17-004,3,85.3,25.6
v17-004,4,81.9,26.1
v17-004,5,82,26.4
v17-004,6,82,26
v17-004,7,81.4,25.4
v17-004,8,82.4,25.6
v17-004,9,69.4,18.4
v17-004,10,62,17
